ip,slave,description,count,start_addr

10.129.7.16,15,"PM Drop Bottom",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.17,14,"PM A1 Substation",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.18,16,"PM A3 Substation",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.10,6,"PM Autoclave 5",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.11,22,"PM Autoclave 6",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.12,,"PM Autoclave 7 (OFFLINE)", 2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.6,19,"PM Autoclave 1",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.19,12,"PM B2 Substation",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.24,9,"PM C2L Substation",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.25,5,"PM C2P Substation",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.21,3,"PM C1L1 Substation",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.22,4,"PM C1L2 Substation",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.23,11,"PM C1A Substation",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.26,,"PM C4 Substation (OFFLINE)",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.7,17,"PM Autoclave 3",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.13,8,"PM Autoclave 8",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.14,23,"PM Autoclave 9",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.15,20,"PM Autoclave 10",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.20,13,"PM B3 Substation",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.8,7,"PM Autoclave 2",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"
10.129.7.9,18,"PM Autoclave 4",2,"1199, 2344, 1175, 2336, 1167, 2332, 1191"